condition,experiment_id,meta_round,behavioral_distance,structural_similarity,valid_behavior_pairs,valid_structure_pairs,total_pairs
OF,exp_050,2,0.302118,0.309512,10,10,10
OF,exp_050,3,0.361852,0.315065,10,10,10
OF,exp_051,1,0.244017,0.310296,10,10,10
OF,exp_051,2,0.241946,0.338916,10,10,10
OF,exp_051,3,0.256172,0.335938,10,10,10
OF,exp_052,1,0.262311,0.286902,10,10,10
OF,exp_052,2,0.387454,0.342946,10,10,10
OF,exp_052,3,0.390032,0.352203,10,10,10
OF,exp_053,1,0.379645,0.255905,10,10,10
OF,exp_053,2,0.300449,0.283041,10,10,10
OF,exp_053,3,0.319681,0.277573,10,10,10
OF,exp_054,1,0.229332,0.2795,10,10,10
OF,exp_054,2,0.231933,0.284045,10,10,10
OF,exp_054,3,0.303052,0.337773,10,10,10
OF,exp_055,1,0.275953,0.295259,10,10,10
OF,exp_055,2,0.292302,0.292355,10,10,10
OF,exp_055,3,0.33385,0.30468,10,10,10
OF,exp_056,1,0.346474,0.265789,10,10,10
OF,exp_056,2,0.340064,0.293384,10,10,10
OF,exp_056,3,0.394579,0.322685,10,10,10
OF,exp_057,1,0.297854,0.295143,10,10,10
OF,exp_057,2,0.342107,0.349259,10,10,10
OF,exp_057,3,0.278764,0.311589,10,10,10
OF,exp_058,1,0.296842,0.305812,10,10,10
OF,exp_058,2,0.287682,0.290551,10,10,10
OF,exp_058,3,0.233898,0.322179,10,10,10
OF,exp_059,1,0.201278,0.301209,10,10,10
OF,exp_059,2,0.293445,0.301404,10,10,10
OF,exp_059,3,0.335715,0.296792,10,10,10
OF,exp_060,1,0.276873,0.325372,10,10,10
OF,exp_060,2,0.278351,0.334009,10,10,10
OF,exp_060,3,0.31548,0.32048,10,10,10
OF,exp_061,1,0.311344,0.272315,10,10,10
OF,exp_061,2,0.303711,0.311021,10,10,10
OF,exp_061,3,0.294471,0.29596,10,10,10
OF,exp_062,1,0.290171,0.253882,10,10,10
OF,exp_062,2,0.293534,0.360834,10,10,10
OF,exp_062,3,0.285253,0.384501,10,10,10
OF,exp_063,1,0.350172,0.31544,10,10,10
OF,exp_063,2,0.358064,0.289374,10,10,10
OF,exp_063,3,0.341022,0.296873,10,10,10
OF,exp_064,1,0.261618,0.323634,10,10,10
OF,exp_064,2,0.28907,0.34742,10,10,10
OF,exp_064,3,0.274542,0.363046,10,10,10
OF,exp_065,1,0.24902,0.298283,10,10,10
OF,exp_065,2,0.263682,0.341602,10,10,10
OF,exp_065,3,0.305444,0.340046,10,10,10
OF,exp_066,1,0.251566,0.34669,10,10,10
OF,exp_066,2,0.264036,0.343326,10,10,10
OF,exp_066,3,0.388,0.347502,10,10,10
OF,exp_067,1,0.216421,0.326141,10,10,10
OF,exp_067,2,0.361489,0.24237,10,10,10
OF,exp_067,3,0.321334,0.307642,10,10,10
OF,exp_068,1,0.237098,0.317638,10,10,10
OF,exp_068,2,0.267044,0.342205,10,10,10
OF,exp_068,3,0.278657,0.342691,10,10,10
OF,exp_069,1,0.194429,0.299762,10,10,10
OF,exp_069,2,0.247523,0.277584,10,10,10
OF,exp_069,3,0.302969,0.332339,10,10,10
OF,exp_070,1,0.258953,0.332712,10,10,10
OF,exp_070,2,0.278179,0.339736,10,10,10
OF,exp_070,3,0.267318,0.304199,10,10,10
OF,exp_071,1,0.197992,0.297547,10,10,10
OF,exp_071,2,0.243574,0.305986,10,10,10
OF,exp_071,3,0.313359,0.306657,10,10,10
OF,exp_072,1,0.225435,0.339753,10,10,10
OF,exp_072,2,0.229745,0.372886,10,10,10
OF,exp_072,3,0.251308,0.372028,10,10,10
OF,exp_073,1,0.389936,0.362106,10,10,10
OF,exp_073,2,0.369504,0.351786,10,10,10
OF,exp_073,3,0.393659,0.320649,10,10,10
OF,exp_074,1,0.344104,0.288923,10,10,10
OF,exp_074,2,0.367614,0.278992,10,10,10
OF,exp_074,3,0.318652,0.298122,10,10,10
OF,exp_075,1,0.274183,0.344626,10,10,10
