exp,meta_round_id,agent_id,backend,model,temperature,survival_days,death_day,death_count,mortality_rate,final_status,status_alive,final_hp,final_budget,total_bid,avg_bid,bid_variance,max_bid,min_bid,error_count,compile_success,runtime_success,strategy_complexity
exp_001,2,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,317.5875,31.75875,1647.8388140625,90.0,0.0,0,1.0,1.0,451.0
exp_001,2,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,620.1499999999999,1433.9,143.39000000000001,58.7489000000001,159.95000000000002,135.0,0,1.0,1.0,424.0
exp_001,2,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,7.0,278.0025,1060.07453125,106.00745312500001,1661.5939118860952,139.65,0.0,0,1.0,1.0,179.0
exp_001,2,Eric,deepseek,deepseek-v4-flash,0.6,8,9,1.0,100.0,dead,0.0,-1.0,0.0,971.0,97.1,1417.09,119.0,0.0,0,1.0,1.0,300.0
exp_001,3,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,257.2,25.72,1051.5855999999999,72.6,0.0,0,1.0,1.0,623.0
exp_001,3,Bob,openai,gpt-5.4-nano,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,493.92,49.392,2745.518976,112.5,0.0,0,1.0,1.0,314.0
exp_001,3,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,663.3215378875,1346.8254778625,134.68254778625,515.1369987390581,163.78797461250005,75.0,0,1.0,1.0,468.0
exp_001,3,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,10.0,143.6164122431249,1266.8762502568752,126.68762502568752,668.2006823231054,155.59857588187504,80.0,0,1.0,1.0,155.0
exp_001,3,Eric,deepseek,deepseek-v4-flash,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,485.0,48.5,2352.25,97.0,0.0,0,1.0,1.0,163.0
exp_001,4,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,8.0,188.12854249999998,875.9167150000001,87.5916715,2062.9813426738992,141.0,19.6,0,1.0,1.0,593.0
exp_001,4,Bob,openai,gpt-5.4-nano,0.6,10,,0.0,0.0,alive,1.0,8.0,457.1691425,887.923615,88.7923615,987.1628537801291,136.5,54.0,0,1.0,1.0,496.0
exp_001,4,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,5.0,1025.90125,1180.298629375,118.0298629375,374.90470831041733,135.0,73.328421875,0,1.0,1.0,368.0
exp_001,4,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,10.0,262.68989209374996,921.85722015625,92.185722015625,1360.0806975243904,141.481237625,0.0,0,1.0,1.0,166.0
exp_001,4,Eric,deepseek,deepseek-v4-flash,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,316.888,31.688799999999997,1534.56120896,91.0,0.0,0,1.0,1.0,131.0
exp_001,5,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,10.0,59.5,953.5,95.35,659.0649999999999,128.5,38.5,0,1.0,1.0,513.0
exp_001,5,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,586.0
exp_001,5,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,4.0,1080.0,979.5,97.95,366.3725,125.5,67.5,0,1.0,1.0,399.0
exp_001,5,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_001,5,Eric,deepseek,deepseek-v4-flash,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_001,6,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,10.0,91.5,1151.5,115.15,407.0025,141.5,70.0,0,1.0,1.0,653.0
exp_001,6,Bob,openai,gpt-5.4-nano,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,310.3221187133789,31.032211871337893,1033.9590760827039,77.1171187133789,0.0,0,1.0,1.0,432.0
exp_001,6,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,4.0,1078.5,1094.0,109.4,316.24,127.5,72.5,0,1.0,1.0,252.0
exp_001,6,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,6.0,382.39411686197917,913.0841041666666,91.30841041666666,1439.8624129592176,133.28333333333336,0.0,0,1.0,1.0,163.0
exp_001,6,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,805.0,1086.0,108.6,726.39,139.5,42.0,0,1.0,1.0,211.0
exp_001,7,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,9.0,70.0,1174.82,117.482,1563.447336,172.5,58.0,0,1.0,1.0,545.0
exp_001,7,Bob,openai,gpt-5.4-nano,0.6,10,,0.0,0.0,alive,1.0,7.0,557.145,817.8969545454546,81.78969545454547,336.18461611036776,106.92,30.93905454545455,0,1.0,1.0,489.0
exp_001,7,Cindy,gemini,gemini-2.5-flash,0.6,5,6,1.0,100.0,dead,0.0,0.0,0.0,852.5,85.25,4922.8125,148.5,0.0,0,1.0,1.0,447.0
exp_001,7,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_001,7,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,498.0,1462.5,146.25,173.0125,174.0,133.0,0,1.0,1.0,171.0
exp_001,8,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,8.0,284.0,839.1333333333333,83.91333333333333,619.9529333333334,124.0,35.0,0,1.0,1.0,591.0
exp_001,8,Bob,openai,gpt-5.4-nano,0.6,10,,0.0,0.0,alive,1.0,4.0,621.75,696.67,69.667,102.56202099999997,82.55,45.18,0,1.0,1.0,477.0
exp_001,8,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,882.5,970.54,97.054,445.00784400000003,128.0,63.8,0,1.0,1.0,454.0
exp_001,8,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,227.46475,22.746475,834.311052830625,76.0,0.0,0,1.0,1.0,158.0
exp_001,8,Eric,deepseek,deepseek-v4-flash,0.6,7,8,1.0,100.0,dead,0.0,0.0,0.0,324.70000000000005,32.470000000000006,2369.0441,116.4,0.0,0,1.0,1.0,331.0
exp_001,9,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,3.0,248.1,1289.67,128.967,1328.223481,181.29999999999998,64.4,0,1.0,1.0,568.0
exp_001,9,Bob,openai,gpt-5.4-nano,0.6,10,,0.0,0.0,alive,1.0,6.0,341.23191999999995,1086.25264,108.62526399999999,2083.860564834304,163.46007999999998,5.0,0,1.0,1.0,509.0
exp_001,9,Cindy,gemini,gemini-2.5-flash,0.6,7,8,1.0,100.0,dead,0.0,0.0,0.0,907.444,90.7444,2476.57228624,147.42,0.0,0,1.0,1.0,207.0
